Time_Index,GibsonSolar,PutahCreek,Resurgence_Hybrid,WillowSpringsSolar
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,0,0,0
8,0,0,0.143,0.132
9,0.029,0.042,0.583,0.607
10,0,0.037,0.641,0.756
11,0.092,0.012,0.616,0.724
12,0.026,0.036,0.561,0.695
13,0.115,0.096,0.567,0.691
14,0.018,0.042,0.589,0.735
15,0.009,0.041,0.549,0.778
16,0.033,0.021,0.448,0.533
17,0,0,0.067,0.061
18,0,0,0,0
19,0,0,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
23,0,0,0,0
24,0,0,0,0
25,0,0,0,0
26,0,0,0,0
27,0,0,0,0
28,0,0,0,0
29,0,0,0,0
30,0,0,0,0
31,0,0,0,0
32,0,0,0.125,0.131
33,0.017,0,0.498,0.566
34,0.108,0.199,0.54,0.73
35,0,0,0.541,0.714
36,0.057,0.028,0.52,0.677
37,0.008,0.129,0.531,0.64
38,0.059,0.089,0.558,0.664
39,0.023,0.017,0.527,0.724
40,0.051,0.036,0.455,0.542
41,0.008,0.02,0.07,0.105
42,0,0,0,0
43,0,0,0,0
44,0,0,0,0
45,0,0,0,0
46,0,0,0,0
47,0,0,0,0
48,0,0,0,0
49,0,0,0,0
50,0,0,0,0
51,0,0,0,0
52,0,0,0,0
53,0,0,0,0
54,0,0,0,0
55,0,0,0,0
56,0,0,0.13,0.127
57,0.011,0.02,0.514,0.568
58,0.563,0.061,0.545,0.677
59,0.056,0.079,0.54,0.707
60,0.139,0.135,0.503,0.644
61,0.058,0.037,0.546,0.657
62,0.105,0.103,0.574,0.659
63,0.193,0.139,0.558,0.693
64,0.044,0.035,0.498,0.501
65,0,0,0.075,0.089
66,0,0,0,0
67,0,0,0,0
68,0,0,0,0
69,0,0,0,0
70,0,0,0,0
71,0,0,0,0
72,0,0,0,0
73,0,0,0,0
74,0,0,0,0
75,0,0,0,0
76,0,0,0,0
77,0,0,0,0
78,0,0,0,0
79,0,0,0,0
80,0,0,0.139,0.124
